id,hasProblem,avgCycle,lanes,avgTimes
53099320,True,3600,"['-332597972#0_2', '-332597972#0_1', '-332597972#0_3', ':53099320_w2_0', ':53099320_w1_0', '332200728#1_2', ':53099320_w0_0', '-6359288#0_1', ':53099320_w3_0', '332200728#1_1']","[15.0, 15.0, 5.0, 7.0, 7.0, 0, 15.0, 0, 7.0, 0]"
53099752,False,92,"['-428237354#1_2', '428237339#0_2', '37551507#0_2', ':53099752_w2_0', '37551507#0_1', '428237339#0_3', '428237339#0_1', '-428237354#1_3', ':53099752_w0_0', ':53099752_w3_0', ':53099752_w1_0', '-240704053#1_1', '-428237354#1_1']","[13.0, 14.0, 35.0, 35.0, 35.0, 31.0, 14.0, 30.0, 35.0, 14.0, 13.0, 35.0, 13.0]"
53102406,True,3600,"['-163419193#3_1', '163419193#2_1', ':53102406_w3_0', ':53102406_w0_0', '585843631#5_1', '-578105516#0_1', ':53102406_w2_0', ':53102406_w1_0']","[37.0, 0, 37.0, 37.0, 37.0, 0, 37.0, 37.0]"
53102408,False,87,"[':53102408_w0_0', '-422748212#7_1', ':53102408_w3_0', ':53102408_w1_0', '-163419193#1_1', '422748212#6_1', '163419193#0_1', ':53102408_w2_0']","[36.0, 40.0, 36.0, 36.0, 40.0, 40.0, 40.0, 36.0]"
53102410,True,3600,"[':53102410_w0_0', ':53102410_w1_0', '-546095808#0_1', '-163419193#0_1', '391470504_1', '179222050#5_1', ':53102410_w3_0', ':53102410_w2_0']","[37.0, 37.0, 0, 37.0, 0, 37.0, 37.0, 37.0]"
53107464,True,3600,"['-524878319#1_2', '332200724#0_1', '-396290406#1_3', ':53107464_w3_0', '396290407#0_2', '396290407#0_3', '-396290406#1_1', '-524878319#1_1', '396290407#0_1', ':53107464_w1_0', ':53107464_w0_0', '-396290406#1_2', '332200724#0_2', ':53107464_w2_0']","[38.0, 70.0, 32.0, 32.0, 32.0, 32.0, 32.0, 38.0, 38.0, 38.0, 33.0, 32.0, 38.0, 33.0]"
53107469,True,3600,"['585843630#1_3', ':53107469_w0_0', '6457582#2_2', ':53107469_w2_0', '-585843630#4_1', '-422748212#2_1', '-585843630#4_2', '585843630#1_2', '6457582#2_1', '-585843630#4_3', ':53107469_w1_0', '585843630#1_1', ':53107469_w3_0']","[28.0, 28.0, 0, 0, 28.0, 0, 28.0, 28.0, 28.0, 28.0, 0, 28.0, 0]"
53108484,False,37,"['436163947#1_2', '-460423542#0_1', ':53108484_w0_0', '-393047810_2', '6366765#11_1', ':53108484_w1_0', ':53108484_w2_0', '-393047810_1', '436163947#1_1', ':53108484_w3_0']","[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]"
53108778,False,87,"['-462696718#1_1', '452330585#6_1', ':53108778_w0_0', ':53108778_w2_0', ':53108778_w1_0', ':53108778_w3_0', '462696719#2_1', '462696719#2_3', '462696719#2_2']","[29.0, 29.0, 29.0, 29.0, 30.0, 49.0, 49.0, 49.0, 49.0]"
53114222,True,3600,"[':53114222_w3_0', ':53114222_w1_0', '-369877037_1', '-465971498#1_1', '-576974321_1', '465971497_1', '465971497_2', '-369877037_2', ':53114222_w0_0', ':53114222_w2_0']","[0, 0, 0, 0, 37.0, 37.0, 37.0, 37.0, 0, 0]"
53114228,False,87,"['-gneE130_1', ':53114228_w2_0', ':53114228_w1_0', 'gneE185_1', ':53114228_w0_0', ':53114228_w3_0', 'gneE323_1', '484863624#1_3', '484863624#1_1', '484863624#1_2']","[59.0, 20.0, 59.0, 20.0, 20.0, 59.0, 20.0, 59.0, 59.0, 59.0]"
53114262,False,109,"[':53114262_w1_0', '6472596#0_1', ':53114262_w2_0', ':53114262_w0_0', '6472596#0_2', 'gneE58_1', 'gneE257.39_1', 'gneE257.39_2', ':53114262_w3_0']","[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]"
53114263,False,109,"['gneE261_2', ':53114263_w3_0', ':53114263_w1_0', '-6371912#12_1', '462696722#2_2', ':53114263_w0_0', '462696722#2_1', 'gneE261_1', ':53114263_w2_0']","[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]"
53114264,False,109,"['6396263#4_2', ':53114264_w2_0', ':53114264_w3_0', '6371912#11_1', '-51817338#3.48_1', '6396263#4_1', ':53114264_w0_0', ':53114264_w1_0', '-51817338#3.48_2']","[45.0, 45.0, 55.0, 55.0, 55.0, 45.0, 45.0, 55.0, 55.0]"
53114276,False,69,"['22927962#3_1', '537696882#1_1', ':53114276_w0_0', '537696882#1_2', ':53114276_w1_0', ':53114276_w2_0', ':53114276_w3_0', '68665998#3_1', '-22927962#7_1']","[20.0, 38.0, 20.0, 38.0, 38.0, 20.0, 0, 38.0, 20.0]"
53114280,False,23,"[':53114280_w1_0', ':53114280_w2_0', '256891817#3_4', '256891817#3_3', '256891817#3_2', ':53114280_w3_0', ':53114280_w0_0', '256891817#3_1']","[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]"
53114282,False,24,"['-206883227#5.24_2', '-206883227#5.24_1', '206883227#4_1', ':53114282_w2_0', '256891818#0_1', ':53114282_w1_0', ':53114282_w3_0', ':53114282_w0_0', '256891818#0_2']","[7.0, 7.0, 7.0, 7.0, 6.0, 6.0, 6.0, 7.0, 6.0]"
53114285,False,23,"['256891818#4_2', ':53114285_w2_0', '6405767#2_1', '-6405767#3_1', ':53114285_w3_0', '256891818#4_1', ':53114285_w1_0', ':53114285_w0_0']","[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]"
53114289,False,69,"['256891818#6.54_2', '-14024017#1.93_1', ':53114289_w0_0', '335460685#3_2', '-14024017#1.93_2', '-239801865_1', '335460685#3_1', ':53114289_w3_0', ':53114289_w2_0', ':53114289_w1_0', '256891818#6.54_3', '256891818#6.54_1', '-239801865_2']","[35.0, 35.0, 25.0, 25.0, 35.0, 25.0, 25.0, 35.0, 25.0, 35.0, 35.0, 35.0, 25.0]"
